r2,rmse
0.2652,290.4009
0.2652,290.4009
0.2652,290.4009
0.2652,290.4009
0.2652,290.4009
0.2652,290.4009
0.2493,291.9006
0.2492,291.9002
0.2499,291.8353
0.2685,290.1271
0.2687,290.0964
0.2477,291.8493
0.2257,293.4999
0.2405,292.3473
0.22  ,293.949
0.2239,293.8356
0.1771,297.2713
0.1762,298.008
0.2384,293.0399
0.2481,291.7759
0.263 ,290.6012
0.2668,290.2652
0.2374,292.6583
0.2603,290.8751
0.2666,290.4682
0.2718,289.8949
0.2778,289.3407
0.2776,289.3638
0.2776,289.3638
0.2856,288.6794
0.2801,289.1059
0.2822,288.9214
0.2841,288.7463
0.2836,288.7985
0.2831,288.8402
0.2831,288.8402
0.2831,288.8402
0.2831,288.8402
0.3076,286.5782
0.3076,286.5782
0.3076,286.5782
0.3069,286.6484
0.3069,286.6484
0.3102,286.3115
0.3102,286.3115
0.3135,285.9756
0.3135,285.9756
0.3135,285.9756
0.3135,285.9756
0.3163,285.697
